lowRate,cheapestRate_allNights_baseFare,cheapestRate_allNights_fees,cheapestRate_allNights_taxes,cheapestRate_allNights_totalFare,cheapestRate_perNight_baseFare,cheapestRate_perNight_fees,cheapestRate_perNight_taxes,cheapestRate_perNight_totalFare,originalRate_allNights_baseFare,originalRate_allNights_fees,originalRate_allNights_taxes,originalRate_allNights_totalFare,originalRate_perNight_baseFare,originalRate_perNight_fees,originalRate_perNight_taxes,originalRate_perNight_totalFare
2735003,2260333,0,474670,2735003,753444,0.0,158223.33,911668,3013777,0,632894,3646671,1004592,0.0,210964.67,1215557
1750000,1446281,0,303719,1750000,482093,0.0,101239.67,583333,1928375,0,404958,2333333,642791,0.0,134986.0,777778
3480000,2876034,0,603966,3480000,958678,0.0,201322.0,1160000,3834712,0,805288,4640000,1278237,0.0,268429.33,1546667
4875000,4028925,0,846075,4875000,1342975,0.0,282025.0,1625000,5371900,0,1128100,6500000,1790633,0.0,376033.33,2166667
15960534,13190520,2770014,0,15960534,4396840,923338.0,0.0,5320178,17587360,3693352,0,21280712,5862453,1231117.33,0.0,7093571
4208542,3478134,730408,0,4208542,1159378,243469.33,0.0,1402847,4637512,973877,0,5611389,1545837,324625.67,0.0,1870463
3950000,3264463,0,685537,3950000,1088154,0.0,228512.33,1316667,4352617,0,914050,5266667,1450872,0.0,304683.33,1755556
5254446,4342518,0,911928,5254446,1447506,0.0,303976.0,1751482,5790024,0,1215904,7005928,1930008,0.0,405301.33,2335309
6679200,5520000,1159200,0,6679200,1840000,386400.0,0.0,2226400,7360000,1545600,0,8905600,2453333,515200.0,0.0,2968533
6059556,5007897,0,1051659,6059556,1669299,0.0,350553.0,2019852,5434344,0,1141212,6575556,1811448,0.0,380404.0,2191852
9195999,7599999,1596000,0,9195999,2533333,532000.0,0.0,3065333,10133332,2128000,0,12261332,3377777,709333.33,0.0,4087111
15540985,13248235,1091711,1201039,15540985,4416078,363903.67,400346.33,5180328,17664262,1455563,1601385,20721210,5888087,485187.67,533795.0,6907070
6405900,5294132,0,1111768,6405900,1764710,0.0,370589.33,2135300,7058843,0,1482357,8541200,2352947,0.0,494119.0,2847067
4235002,3500000,735002,0,4235002,1166666,245000.67,0.0,1411667,4666667,980003,0,5646670,1555555,326667.67,0.0,1882223
2780000,2297521,0,482479,2780000,765840,0.0,160826.33,926667,3063361,0,643305,3706666,1021120,0.0,214435.0,1235555
2200000,1818181,0,381819,2200000,606060,0.0,127273.0,733333,2424241,0,509092,2933333,808080,0.0,169697.33,977778
4677598,3987643,328610,361345,4677598,1329214,109536.67,120448.33,1559199,5316805,438094,481794,6236693,1772268,146031.33,160598.0,2078898
9950000,8223141,0,1726859,9950000,2741047,0.0,575619.67,3316667,10000000,0,2100000,12100000,3333333,0.0,700000.0,4033333
7178688,5932800,0,1245888,7178688,1977600,0.0,415296.0,2392896,7910400,0,1661184,9571584,2636800,0.0,553728.0,3190528
1839000,1519835,0,319165,1839000,506611,0.0,106388.33,613000,2026447,0,425553,2452000,675482,0.0,141851.0,817333
8563883,7077589,0,1486294,8563883,2359196,0.0,495431.33,2854628,7298589,0,1532704,8831293,2432863,0.0,510901.33,2943764
5265000,4351239,0,913761,5265000,1450413,0.0,304587.0,1755000,5801652,0,1218348,7020000,1933884,0.0,406116.0,2340000
7739130,6395976,0,1343154,7739130,2131992,0.0,447718.0,2579710,8527968,0,1790872,10318840,2842656,0.0,596957.33,3439613
6679200,5520000,1159200,0,6679200,1840000,386400.0,0.0,2226400,7360000,1545600,0,8905600,2453333,515200.0,0.0,2968533
1644000,1358677,0,285323,1644000,452892,0.0,95107.67,548000,1811569,0,380431,2192000,603856,0.0,126810.33,730667
8833000,7300000,1533000,0,8833000,2433333,511000.0,0.0,2944333,9733333,2044000,0,11777333,3244444,681333.33,0.0,3925778
7055554,5831037,0,1224517,7055554,1943679,0.0,408172.33,2351851,8330052,0,1749311,10079363,2776684,0.0,583103.67,3359788
5750000,4752066,0,997934,5750000,1584022,0.0,332644.67,1916667,6336088,0,1330579,7666667,2112029,0.0,443526.33,2555556
3170000,2619834,0,550166,3170000,873278,0.0,183388.67,1056667,3493112,0,733555,4226667,1164370,0.0,244518.33,1408889
5278500,4362396,0,916104,5278500,1454132,0.0,305368.0,1759500,5132231,0,1077769,6210000,1710743,0.0,359256.33,2070000
11210000,9264463,0,1945537,11210000,3088154,0.0,648512.33,3736667,12352617,0,2594050,14946667,4117539,0.0,864683.33,4982222
3557500,2940082,0,617418,3557500,980027,0.0,205806.0,1185833,3057851,0,642149,3700000,1019283,0.0,214049.67,1233333
3656000,3021487,0,634513,3656000,1007162,0.0,211504.33,1218667,4028649,0,846018,4874667,1342883,0.0,282006.0,1624889
3452002,2852893,599109,0,3452002,950964,199703.0,0.0,1150667,3803857,798812,0,4602669,1267952,266270.67,0.0,1534223
2020000,1669422,0,350578,2020000,556474,0.0,116859.33,673333,2225896,0,467437,2693333,741965,0.0,155812.33,897778
3052500,2522728,0,529772,3052500,840909,0.0,176590.67,1017500,3657026,0,767974,4425000,1219008,0.0,255991.33,1475000
3288999,2718181,570818,0,3288999,906060,190272.67,0.0,1096333,3624241,761091,0,4385332,1208080,253697.0,0.0,1461777
7005900,5790000,1215900,0,7005900,1930000,405300.0,0.0,2335300,7720000,1621200,0,9341200,2573333,540400.0,0.0,3113733
2990000,2471074,0,518926,2990000,823691,0.0,172975.33,996667,3294765,0,691902,3986667,1098255,0.0,230634.0,1328889
6612904,5465210,0,1147694,6612904,1821736,0.0,382564.67,2204301,7286947,0,1530258,8817205,2428982,0.0,510086.0,2939068
3100500,2562397,0,538103,3100500,854132,0.0,179367.67,1033500,3416529,0,717471,4134000,1138843,0.0,239157.0,1378000
1776000,1467769,0,308231,1776000,489256,0.0,102743.67,592000,1957025,0,410975,2368000,652341,0.0,136991.67,789333
4964000,4102480,0,861520,4964000,1367493,0.0,287173.33,1654667,5469973,0,1148694,6618667,1823324,0.0,382898.0,2206222
2769957,2289221,0,480736,2769957,763073,0.0,160245.33,923319,3052295,0,640981,3693276,1017431,0.0,213660.33,1231092
4909999,4057851,0,852148,4909999,1352617,0.0,284049.33,1636666,5410468,0,1136197,6546665,1803489,0.0,378732.33,2182222
10200000,8429752,0,1770248,10200000,2809917,0.0,590082.67,3400000,11239669,0,2360331,13600000,3746556,0.0,786777.0,4533333
2726500,2253306,0,473194,2726500,751102,0.0,157731.33,908833,3004408,0,630925,3635333,1001469,0.0,210308.33,1211778
2540000,2099174,0,440826,2540000,699724,0.0,146942.0,846667,2305785,0,484215,2790000,768595,0.0,161405.0,930000
6000000,4958677,0,1041323,6000000,1652892,0.0,347107.67,2000000,6611569,0,1388431,8000000,2203856,0.0,462810.33,2666667
8606315,7112658,0,1493657,8606315,2370886,0.0,497885.67,2868772,9483544,0,1991543,11475087,3161181,0.0,663847.67,3825029
2584666,2136088,0,448578,2584666,712029,0.0,149526.0,861555,2848117,0,598104,3446221,949372,0.0,199368.0,1148740
1720000,1421487,0,298513,1720000,473829,0.0,99504.33,573333,1895316,0,398017,2293333,631772,0.0,132672.33,764444
3111829,2571759,0,540070,3111829,857253,0.0,180023.33,1037276,3429012,0,720093,4149105,1143004,0.0,240031.0,1383035
4444443,3673093,0,771350,4444443,1224364,0.0,257116.67,1481481,4897457,0,1028467,5925924,1632485,0.0,342822.33,1975308
6111112,5050506,0,1060606,6111112,1683502,0.0,353535.33,2037037,6734008,0,1414141,8148149,2244669,0.0,471380.33,2716050
6500000,5371901,0,1128099,6500000,1790633,0.0,376033.0,2166667,7162535,0,1504132,8666667,2387511,0.0,501377.33,2888889
7107543,5874000,1233543,0,7107543,1958000,411181.0,0.0,2369181,7832000,1644724,0,9476724,2610666,548241.33,0.0,3158908
1836622,1517870,0,318752,1836622,505956,0.0,106250.67,612207,2023827,0,425002,2448829,674609,0.0,141667.33,816276
900000,743802,156198,0,900000,247934,52066.0,0.0,300000,991736,208264,0,1200000,330578,69421.33,0.0,400000
3615199,2987767,627432,0,3615199,995922,209144.0,0.0,1205066,3209915,627432,0,3837347,1069971,209144.0,0.0,1279116
1130000,933885,0,196115,1130000,311295,0.0,65371.67,376667,1245180,0,261487,1506667,415060,0.0,87162.33,502222
1438200,1188596,0,249604,1438200,396198,0.0,83201.33,479400,1264464,0,265536,1530000,421488,0.0,88512.0,510000
2020003,1669422,350581,0,2020003,556474,116860.33,0.0,673334,2225896,467441,0,2693337,741965,155813.67,0.0,897779
443571,366587,0,76984,443571,122195,0.0,25661.33,147857,469985,0,98696,568681,156661,0.0,32898.67,189560
1990000,1644629,0,345371,1990000,548209,0.0,115123.67,663333,2192839,0,460494,2653333,730946,0.0,153498.0,884444
825000,681819,0,143181,825000,227273,0.0,47727.0,275000,909092,0,190908,1100000,303030,0.0,63636.0,366667
1166000,963636,0,202364,1166000,321212,0.0,67454.67,388667,1284848,0,269819,1554667,428282,0.0,89939.67,518222
1950000,1611570,0,338430,1950000,537190,0.0,112810.0,650000,2148760,0,451240,2600000,716253,0.0,150413.33,866667
1290000,1066115,0,223885,1290000,355371,0.0,74628.33,430000,1421487,0,298513,1720000,473829,0.0,99504.33,573333
1104886,913128,0,191758,1104886,304376,0.0,63919.33,368295,980714,0,205950,1186664,326904,0.0,68650.0,395555
