city,id,name,displayName,region,starRating,userRating,numReviews,userRatingInfo
Bandung,478355,Serela Merdeka by KAGUM Hotels,Serela Merdeka by KAGUM Hotels,"Dago, Bandung",3.0,8.3,6149.0,Mengesankan
Bandung,216177,Amaroossa Bandung,Amaroossa Bandung,"Jalan Riau, Bandung",4.0,8.2,5511.0,Nyaman
Bandung,149184,Banana Inn by KAGUM Hotels,Banana Inn by KAGUM Hotels,"Setiabudi, Bandung",4.0,8.4,6267.0,Mengesankan
Bandung,291995,POP! Hotel Festival Citylink - Bandung,POP! Hotel Festival Citylink - Bandung,"Pasir Koja, Bandung",2.0,8.2,9679.0,Nyaman
Bandung,2000000141122,Sensa Hotel Bandung,Sensa Hotel Bandung,"Cihampelas, Bandung",4.0,8.6,3133.0,Mengesankan
Bandung,3000010034206,ibis Bandung Pasteur,ibis Bandung Pasteur,"Pasteur, Bandung",3.0,8.5,5186.0,Mengesankan
Bandung,1000000739415,Mercure Bandung City Centre,Mercure Bandung City Centre,"Asia Afrika, Bandung",4.0,8.5,2600.0,Mengesankan
Bandung,3000020019917,Grand Sunshine Resort and Convention,Grand Sunshine Resort and Convention,"Pamekaran, Bandung",4.0,8.7,1131.0,Mengesankan
Bandung,3000010000136,Serela Waringin by KAGUM Hotels,Serela Waringin by KAGUM Hotels,"Pasirkaliki, Bandung",3.0,8.0,7622.0,Nyaman
Bandung,65535,"Sukajadi Hotel, Convention and Gallery","Sukajadi Hotel, Convention and Gallery","Sukajadi, Bandung",3.0,8.1,4836.0,Nyaman
Bandung,3000010029331,De Paviljoen Bandung,De Paviljoen Bandung,"Jalan Riau, Bandung",4.0,8.8,4384.0,Mengesankan
Bandung,3000010023425,Cinnamon Hotel Boutique Syariah,Cinnamon Hotel Boutique Syariah,"Setiabudi, Bandung",4.0,9.0,1616.0,Mengesankan
Bandung,3000010007682,Zest Hotel Sukajadi Bandung,Zest Hotel Sukajadi Bandung,"Sukajadi, Bandung",3.0,8.7,7151.0,Mengesankan
