city,name,displayName,region,starRating,userRating,numReviews,userRatingInfo,latitude,longitude,hotelFeatures,prices
Jakarta,Shangri-La Jakarta,Shangri-La Jakarta,"Karet Tengsin, Jakarta",5.0,8.9,2262.0,Mengesankan,-6.202312,106.818753,"Akses ke water park, Toko/pusat belanja, Lapangan tennis outdoor, Bar di kolam renang, Payung pantai, Pusat kebugaran, Bar, OTHER",15960534
Jakarta,Grand Mercure Jakarta Harmoni,Grand Mercure Jakarta Harmoni,"Harmoni, Jakarta",5.0,8.6,1627.0,Mengesankan,-6.160168,106.81966,Check-out ekspress,4208542
Bandung,eL Hotel Royale Bandung,eL Hotel Royale Bandung,"Merdeka, Bandung",4.0,8.7,16317.0,Mengesankan,-6.9158591,107.6103538,"Penitipan anak, Sewa mobil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas",3950000
Bandung,Grand Tjokro Premiere Bandung,Grand Tjokro Premiere Bandung,"Cihampelas, Bandung",4.0,8.5,15901.0,Mengesankan,-6.886302,107.603845,"Olahraga air, Aerobik, Restoran show cooking, Dapur kecil, Teras rooftop, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",5254446
Bandung,Four Points by Sheraton Bandung,Four Points by Sheraton Bandung,"Dago, Bandung",4.0,8.8,2190.0,Mengesankan,-6.901574999999999,107.61215800000002,"Area main anak, Klub anak, Sewa mobil, Pusat kebugaran, Bar di kolam renang, Bar",6679200
Bandung,Aryaduta Bandung,Aryaduta Bandung,"Merdeka, Bandung",4.0,8.7,8395.0,Mengesankan,-6.907893,107.611662,"Area main anak, Antar-jemput bandara",6059556
Bandung,Hilton Bandung,Hilton Bandung,"Pasirkaliki, Bandung",5.0,8.8,3130.0,Mengesankan,-6.912836,107.597623,"Bar, Sewa mobil, Pusat kebugaran, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Bar",9195999
Bandung,InterContinental Hotels BANDUNG DAGO PAKAR,InterContinental Hotels BANDUNG DAGO PAKAR,"Mekarsaluyu, Bandung",5.0,8.8,4140.0,Mengesankan,-6.86674,107.641947,Tennis,15540985
Bandung,Clove Garden Hotel & Residence,Clove Garden Hotel & Residence,"Dago, Bandung",4.0,8.2,14893.0,Nyaman,-6.873058413514878,107.64264427249144,Aksesibel bagi penyandang disabilitas,6405900
Bandung,Moxy Bandung,Moxy Bandung,"Dago, Bandung",3.0,8.7,1939.0,Mengesankan,-6.900311699999999,107.61191970000004,"Ruang santai, Pengering pakaian, Pusat kebugaran, Bilyar, Teras rooftop, Ruangan game, Pusat kebugaran, Bar",4235002
Bandung,ibis Bandung Trans Studio,ibis Bandung Trans Studio,"Buahbatu, Bandung",3.0,8.4,17868.0,Mengesankan,-6.926821,107.636254,Check-out ekspress,2780000
Bandung,Apartment Gateway Cicadas by GPro,Apartment Gateway Cicadas by GPro,"Cibeunying, Bandung",0.0,6.9,163.0,Baik,-6.9069707,107.64497729999994,Basket,2200000
Bandung,Holiday Inn BANDUNG PASTEUR,Holiday Inn BANDUNG PASTEUR,"Pasteur, Bandung",4.0,8.6,5223.0,Mengesankan,-6.895968,107.590679,"Pusat kebugaran, Bar",4677598
Bandung,Kytos Hotel,Kytos Hotel,"Setiabudi, Bandung",3.0,8.4,6245.0,Mengesankan,-6.869466130274049,107.5932264513176,Teras rooftop,9950000
Bandung,Crowne Plaza BANDUNG,Crowne Plaza BANDUNG,"Sumurbandung, Bandung",5.0,8.7,3856.0,Mengesankan,-6.9171,107.6118,"Pusat kebugaran, Bar",7178688
Bandung,Apartmen The Suite Metro By Faris Bunbun,Apartmen The Suite Metro By Faris Bunbun,"Batununggal, Bandung",0.0,7.7,430.0,Nyaman,-6.939430971070963,107.65908479690552,Pusat kebugaran,1839000
Bandung,The Papandayan Hotel,The Papandayan,"Lengkong, Bandung",5.0,8.8,5038.0,Mengesankan,-6.923077,107.62379,"Darts, Ruang santai, Winery, Klub anak, Bar di kolam renang, Check-out ekspress, Pusat kebugaran, Bar",8563883
Bandung,THE 1O1 Bandung Dago,THE 1O1 Bandung Dago,"Dago, Bandung",4.0,8.6,12553.0,Mengesankan,-6.9063411,107.61021099999994,"Bersepeda atau bersepeda gunung, Layanan pijat, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",5265000
Bandung,GH Universal Hotel,GH Universal Hotel,"Setiabudi, Bandung",5.0,8.5,6137.0,Mengesankan,-6.850522,107.597998,"Area main anak, Hewan peliharaan diizinkan, Layanan pijat, Pusat kebugaran, Spa, Bar",7739130
Bandung,Four Points by Sheraton Bandung,Four Points by Sheraton Bandung,"Dago, Bandung",4.0,8.8,2190.0,Mengesankan,-6.901574999999999,107.61215800000002,"Area main anak, Klub anak, Sewa mobil, Pusat kebugaran, Bar di kolam renang, Bar",6679200
Bandung,The Suites Metro by Desta Faris,The Suites Metro by Desta Faris,"Batununggal, Bandung",0.0,7.5,63.0,Nyaman,-6.937950585215877,107.65921354293825,,1644000
Bandung,Sheraton Bandung Hotel & Towers,Sheraton Bandung Hotel & Towers,"Dago Atas, Bandung",5.0,8.7,2213.0,Mengesankan,-6.874546500000001,107.61997989999998,"Tunggang kuda, Jacuzzi, Pengering pakaian, Area main anak, Klub anak, Pusat kebugaran, Pusat kebugaran, Bar",8833000
Bandung,Janévalla Bandung,Janévalla Bandung,"Merdeka, Bandung",4.0,8.8,9593.0,Mengesankan,-6.90974,107.61186999899996,,7055554
Bandung,Grand Hotel Preanger,Grand Hotel Preanger,"Braga, Bandung",5.0,8.6,3800.0,Mengesankan,-6.920718,107.611636,"Aerobik, Winery, Tennis meja, Dapur kecil, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Bar",5750000
Bandung,Shakti Hotel Bandung,Shakti Hotel Bandung,"Gedebage, Bandung",4.0,8.5,9209.0,Mengesankan,-6.937308900000001,107.69711589999996,"Aerobik, Aktivitas outdoor, Handuk pantai, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",3170000
Bandung,The Luxton Bandung,The Luxton Bandung,"Dago, Bandung",4.0,8.5,5129.0,Mengesankan,-6.903839,107.611357,"Jacuzzi, Klub anak, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Spa, Pusat kebugaran, Bar",5278500
Bandung,Maison Teraskita Bandung,Maison Teraskita Bandung,"Asia Afrika, Bandung",4.0,8.7,788.0,Mengesankan,-6.9210901,107.6068887,Bar,11210000
Bandung,Serela Riau by KAGUM Hotels,Serela Riau by KAGUM Hotels,"Jalan Riau, Bandung",3.0,8.0,5598.0,Nyaman,-6.906403,107.619476,"Layanan pijat, Spa, Bar",3557500
Bandung,Harris Hotel & Conventions Festival Citilink Bandung,Harris Hotel & Conventions Festival Citilink Bandung,"Pasir Koja, Bandung",4.0,8.4,4955.0,Mengesankan,-6.929819,107.586579,"Bayar saat Check-in, Aerobik, Restoran show cooking, Ruang santai, Klub anak, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3656000
Bandung,Horison Ultima Bandung,Horison Ultima Bandung,"Lengkong, Bandung",4.0,8.0,17509.0,Nyaman,-6.935608,107.625306,"Area main anak, Klub anak, Pusat kebugaran, Lapangan tennis outdoor, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3452002
Bandung,Atlantic City Hotel,Atlantic City,"Pasirkaliki, Bandung",3.0,8.5,9630.0,Mengesankan,-6.9069168411350725,107.59769817790982,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",2020000
Bandung,Nine Inn by Edotel Dbest,Nine Inn by Edotel Dbest,"Batununggal, Bandung",2.0,7.6,35.0,Nyaman,-6.93946554350589,107.656755266489,Bayar saat Check-in,3052500
Bandung,Grand Serela Setiabudhi by KAGUM Hotels,Grand Serela Setiabudhi by KAGUM Hotels,"Setiabudi, Bandung",4.0,8.0,6164.0,Nyaman,-6.8810402,107.60120919999996,"Tennis meja, Jacuzzi, Area main anak, Sewa mobil, Layanan pijat, Pusat kebugaran, Sauna, Spa",3288999
Bandung,"Courtyard by Marriott Bandung Dago, CHSE Certified","Courtyard by Marriott Bandung Dago, CHSE Certified","Dago, Bandung",4.0,8.6,2179.0,Mengesankan,-6.90421453,107.6100776,"Sewa mobil, Dapur kecil",7005900
Bandung,Serela Merdeka by KAGUM Hotels,Serela Merdeka by KAGUM Hotels,"Dago, Bandung",3.0,8.3,6149.0,Mengesankan,-6.906646200000001,107.6090011,"Penitipan anak, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Spa",2990000
Bandung,Amaroossa Bandung,Amaroossa Bandung,"Jalan Riau, Bandung",4.0,8.2,5511.0,Nyaman,-6.908619,107.618396,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran, Bar",6612904
Bandung,Banana Inn by KAGUM Hotels,Banana Inn by KAGUM Hotels,"Setiabudi, Bandung",4.0,8.4,6267.0,Mengesankan,-6.866921,107.59368,"Aerobik, Bar, Pengering pakaian, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3100500
Bandung,POP! Hotel Festival Citylink - Bandung,POP! Hotel Festival Citylink - Bandung,"Pasir Koja, Bandung",2.0,8.2,9679.0,Nyaman,-6.929565,107.585973,"Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",1776000
Bandung,Sensa Hotel Bandung,Sensa Hotel Bandung,"Cihampelas, Bandung",4.0,8.6,3133.0,Mengesankan,-6.8946953,107.6053673,Spa,4964000
Bandung,ibis Bandung Pasteur,ibis Bandung Pasteur,"Pasteur, Bandung",3.0,8.5,5186.0,Mengesankan,-6.899887,107.59606,Check-out ekspress,2769957
Bandung,Mercure Bandung City Centre,Mercure Bandung City Centre,"Asia Afrika, Bandung",4.0,8.5,2600.0,Mengesankan,-6.923887,107.611619,,4909999
Bandung,Grand Sunshine Resort and Convention,Grand Sunshine Resort and Convention,"Pamekaran, Bandung",4.0,8.7,1131.0,Mengesankan,-7.0253776,107.5286853,"Badminton, Aerobik, Bar, Tennis, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",10200000
Bandung,Serela Waringin by KAGUM Hotels,Serela Waringin by KAGUM Hotels,"Pasirkaliki, Bandung",3.0,8.0,7622.0,Nyaman,-6.91704345484043,107.593113183975,,2726500
Bandung,"Sukajadi Hotel, Convention and Gallery","Sukajadi Hotel, Convention and Gallery","Sukajadi, Bandung",3.0,8.1,4836.0,Nyaman,-6.885653,107.59695899999996,"Tenda di tepi kolam, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Kursi berjemur tepi kolam, Pusat kebugaran",2540000
Bandung,De Paviljoen Bandung,De Paviljoen Bandung,"Jalan Riau, Bandung",4.0,8.8,4384.0,Mengesankan,-6.905833,107.620601,"Pengering pakaian, Dapur kecil, Pusat kebugaran",6000000
Bandung,Cinnamon Hotel Boutique Syariah,Cinnamon Hotel Boutique Syariah,"Setiabudi, Bandung",4.0,9.0,1616.0,Mengesankan,-6.858609,107.59508,Check-out ekspress,8606315
Bandung,Zest Hotel Sukajadi Bandung,Zest Hotel Sukajadi Bandung,"Sukajadi, Bandung",3.0,8.7,7151.0,Mengesankan,-6.895187907438221,107.59748137301632,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",2584666
Bandung,Hotel 88 Bandung Kopo,Hotel 88 Bandung Kopo,"Cibaduyut, Bandung",2.0,8.5,5123.0,Mengesankan,-6.951871,107.586104,,1720000
Bandung,Sari Ater Kamboti Hotel Bandung,Sari Ater Kamboti Hotel Bandung,"Pasteur, Bandung",4.0,8.3,5865.0,Mengesankan,-6.88320499924914,107.5796914100647,"Bayar saat Check-in, Karaoke, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",3111829
